Code client;Nom client;adresse livraison;Latitude;Longitude
201241;CENTRE HOSP. REG. UNIVERS. DE LILLE;1 BD DU PR JULES LECLERC, 59000 LILLE;50.60724765812908;3.0373539389524016
3307;EPDSAE - MEF DU VALENCIENNOIS;1 IMPASSE GUIDEZ, 59300 VALENCIENNES;50.366241123088805;3.5120392812659587
4524;CAP DES TERRITOIRES HAUTS DE FRANCE;1 PARC MAINGOVAL, 59282 DOUCHY LES MINES;50.30660427896587;3.3812819966047973
3930;SAS AS BRASSERIE;1 A 3 ZA DU RONCE, 95380 LOUVRES;49.05775848023184;2.5168078002227303
3864;SAS AS DISTRIBUTION;1 A 3 ZA DU RONCE, 95380 LOUVRES;49.05775848023184;2.5168078002227303
96711;ZHANGZHOU TAIWANESE INVESTMENT;JAMES WATTSTRAAT 2, 3261 MB OUD-BEIJERLAND;51,8294496;4,4314624
622228;J&M FORWARDING B.V.;ROERDOMPSINGEL 12, 3281 JH NUMANSDORP;51,7325122;4,4410239
921120;NTL INTERNATIONAL B.V.;16 VAN LEEUWENHOEKWEG, 5482 TK SCHIJNDEL;51,6074652;5,4624118
93449;MSI PURCHASE BV;BORCHWERF 25, 4704 RG ROOSENDAAL;51,5480388;4,4604963
80112;BRASSERIE THE MUSKETEERS;REEPSTRAAT 208, B9170 SINT GILLIS WAAS ( BELGIQUE );51,2251912;4,0852952
95551;VARESA N.V. SA;ONDERNEMERSSTRAAT 32, 3920 LOMMEL;51,2122221;5,2754434
1243;BRASSERIE VAN STEENBERGE;25 LINDENLAAN, B9940 ERTVELDE;51,1765703;3,7462188
3644;LE GRAIN DE SABLE;707 BOULEVARD GEORGES POMPIDOU, 59123 BRAY DUNES;51,0792013;2,5166326
2504;CARREFOUR MARKET BRAY DUNES;RUE PIERRE DECOCK, 59123 BRAY DUNES;51,068607;2,5167815
58980;CAFETERIA HOPITAL MARITIME ZUYDCOOTE;BOULEVARD VANCAUWENBERGHE, 59123 ZUYDCOOTE;51,064599;2,4812628
2110;HOPIT.MARITIME ZUYDCOOTE;BOULEVARD VANCAUWENBERGHE, 59123 ZUYDCOOTE;51,064599;2,4812628
4576;EIFFAGE ENERGIE SYSTEMES INDUS NORD;ROUTE DE L'ECLUSE WATIER, 59140 DUNKERQUE;51,0516508;2,3620133
2073;VILLE DE DUNKERQUE-MAIRIE ANNEX. MALO;PLACE FERDINAND SCHIPMAN, 59240 MALO LES BAINS;51,0462902;2,3985785
1782;VILLE DE DUNKERQUE;PLACE DES MARTYRS DE LA RESISTANCE, 59140 DUNKERQUE;51,0413669;2,403194
73000;MAXI COFFEE;173 RUE HOUCHARD, 59140 DUNKERQUE;51,0410973;2,3918597
2282;DEPARTEMENT DU NORD;183 RUE DE L ECOLE MATERNELLE, 59140 DUNKERQUE;51,0407794;2,3751073
800288;AMI CHEMIN MR ROSEAU GUILLAUME;4 QUAI DES AMERICAINS, 59140 DUNKERQUE;51,0404999;2,3785251
201180;VILLE DE DUNKERQUE;RUELLE AUX POMMES, 59140 DUNKERQUE;51,0377815;2,3759056
