Code client;Nom client;adresse livraison
003930;SAS AS BRASSERIE;1 A 3 ZA DU RONCE, 95380 LOUVRES
003864;SAS AS DISTRIBUTION;1 A 3 ZA DU RONCE, 95380 LOUVRES
004655;CAP DES TERRITOIRES HAUTS DE FRANCE;1 AVENUE CHARLES DE GAULLE, 59610 FOURMIES
001069;AUCHAN HYPERMARCHE SAS;1 AVENUE DE L EUROPE, 59115 LEERS
002369;AKCAN DISTRIBUTION RJ05/2025;1 AVENUE DE LA BAROGNE, 77230 MOUSSY LE NEUF
002689;AUCHAN FRANCE - MAGASIN BEAUVAIS;1 AVENUE DESCARTES, 60000 BEAUVAIS
201113;COLLEGE JEAN JAURES;1 AVENUE DU MONT LEVIN, 62630 ETAPLES
201241;CENTRE HOSP. REG. UNIVERS. DE LILLE;1 BD DU PR JULES LECLERC, 59000 LILLE
200997;LYCEE PROF. FERNAND DEGRUGILLIER;1 BD EMILE BASLY, 62260 AUCHEL
200819;EPDSAE - AME DE L'EPDSAE;1 BIS RUE LALO, 59130 LAMBERSART
002104;BOCAJE 22 - CAMILLE BOGAERT - TY BREIZH;1 BOULEVARD DE STRASBOURG, 62500 ST OMER
000883;CENTRE HOSPITALIER DU QUESNOY;1 BOULEVARD DU 8 MAI 1945, 59540 CAUDRY
004474;O BELU;1 BOULEVARD DU CANGE, 80000 AMIENS
855155;DISTRI. CASINO FRANCE PRODUITS SECS;1 COURS ANTOINE GUICHARD, 48008 SAINT ETIENNE
004037;THE GODNESS PUB;1 GRAND PLACE, 62400 BETHUNE
451304;DUBOIS VICTOR;1 IMPASSE ABEL DUBOIS, 62960 LIGNY LES AIRE
003307;EPDSAE - MEF DU VALENCIENNOIS;1 IMPASSE GUIDEZ, 59300 VALENCIENNES
002663;EPDSAE - MEF DU VALENCIENNOIS;1 IMPASSE GUISEZ, 59300 VALENCIENNES
004524;CAP DES TERRITOIRES HAUTS DE FRANCE;1 PARC MAINGOVAL, 59282 DOUCHY LES MINES
004197;LA CREPERIE DOUAI;1 PLACE DE GAULLE, 59500 DOUAI
090000;AB INBEV FRANCE SAS;1 PLACE DE LA GARE, 59000 LILLE
004698;CAP DES TERRITOIRES HAUTS DE FRANCE;1 PLACE DES POÈTES ILOT LÉNA RACINE, 59000 LILLE
003391;MR TREDEZ LEO LE PASSE TEMPS LJ 16/07/25;1 PLACE DU MARECHAL FOCH, 62000 ARRAS
004030;LA CREMAILLERE;1 PLACE GENERAL DE GAULLE, 62270 BOUBERS SUR CANCHE
003433;O PAS SAGE - CODE COMPTABLE;1 PLACE LEON DEBOUVERIE, 80000 AMIENS
007614;EPDEF ARRAS;1 ROND POINT BAUDIMONT, 62000 ARRAS
